Zeroes: 105 (54.6875%), Ones: 87 (45.3125%)
Zeroes: 207 (53.9062%), Ones: 177 (46.0938%)
Zeroes: 300 (52.0833%), Ones: 276 (47.9167%)
Zeroes: 400 (52.0833%), Ones: 368 (47.9167%)
Zeroes: 480 (50%), Ones: 480 (50%)
Zeroes: 585 (50.7812%), Ones: 567 (49.2188%)
Zeroes: 682 (50.744%), Ones: 662 (49.256%)
Zeroes: 772 (50.2604%), Ones: 764 (49.7396%)
Zeroes: 875 (50.6366%), Ones: 853 (49.3634%)
Zeroes: 980 (51.0417%), Ones: 940 (48.9583%)
Zeroes: 1077 (50.9943%), Ones: 1035 (49.0057%)
Zeroes: 1185 (51.4323%), Ones: 1119 (48.5677%)
Zeroes: 1274 (51.0417%), Ones: 1222 (48.9583%)
Zeroes: 1361 (50.6324%), Ones: 1327 (49.3676%)
Zeroes: 1458 (50.625%), Ones: 1422 (49.375%)
Zeroes: 1555 (50.6185%), Ones: 1517 (49.3815%)
Zeroes: 1648 (50.4902%), Ones: 1616 (49.5098%)
Zeroes: 1752 (50.6944%), Ones: 1704 (49.3056%)
Zeroes: 1854 (50.8224%), Ones: 1794 (49.1776%)
Zeroes: 1955 (50.9115%), Ones: 1885 (49.0885%)
Zeroes: 2050 (50.8433%), Ones: 1982 (49.1567%)
Zeroes: 2154 (50.9943%), Ones: 2070 (49.0057%)
Zeroes: 2249 (50.9284%), Ones: 2167 (49.0716%)
Zeroes: 2342 (50.8247%), Ones: 2266 (49.1753%)
Zeroes: 2443 (50.8958%), Ones: 2357 (49.1042%)
Zeroes: 2539 (50.8614%), Ones: 2453 (49.1386%)
Zeroes: 2645 (51.0224%), Ones: 2539 (48.9776%)
Zeroes: 2741 (50.9859%), Ones: 2635 (49.0141%)
Zeroes: 2839 (50.9878%), Ones: 2729 (49.0122%)
Zeroes: 2939 (51.0243%), Ones: 2821 (48.9757%)
Zeroes: 3035 (50.9913%), Ones: 2917 (49.0087%)
Zeroes: 3131 (50.952%), Ones: 3014 (49.048%)

Average Zero Percentage: 51.1187%
Average One Percentage: 48.8813%
